name,description,price,category,status,emoji,photo
3-Seater Sofa,Grey fabric excellent condition. IKEA. 2 years old.,1200,living,available,🛋️,
Round Wall Mirror,Large round mirror 80cm diameter. Dark wood frame.,350,living,available,🪞,
Armchair,Beige boucle armchair. Very comfortable minimal use.,600,living,available,🪑,
Coffee Table,Wooden coffee table walnut finish. 120x60cm.,800,living,sold,🪴,
King Bed Frame,Upholstered king bed frame light grey. 180x200cm. No mattress.,1500,bedroom,available,🛏️,
Wardrobe,6-door white wardrobe with mirror. IKEA PAX system.,900,bedroom,reserved,🗄️,
Bedside Tables x2,Matching pair of white bedside tables with drawers.,300,bedroom,available,🪞,
Dining Table,Solid wood dining table seats 6. 160x90cm.,1100,kitchen,available,🍽️,
Dining Chairs x4,Set of 4 upholstered dining chairs camel colour.,480,kitchen,available,🪑,
Nespresso Machine,Nespresso Vertuo Next. Includes capsule holder. Works perfectly.,220,kitchen,available,☕,
Floor Lamp,White ceramic base with linen shade. 165cm tall.,280,decor,available,💡,
Large Plant Pot,Terracotta pot 45cm diameter. Plant not included.,80,decor,available,🪴,
Wall Art Set x3,Set of 3 framed prints neutral tones. 40x50cm each.,150,decor,available,🖼️,
Balcony Table & Chairs,Rattan 2-seater set with table. Used one season.,450,outdoor,available,🌿,
Sun Umbrella,Large outdoor umbrella 3m diameter. Cream colour with base.,200,outdoor,available,☂️,
Office Desk,White standing desk 140x70cm. Manual height adjustment.,700,other,available,🖥️,
Storage Shelves,Metal shelving unit 5 tiers. 180x90x40cm. Black.,250,other,available,📦,
